player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Javon Baker,123904,WR,UCF,2,42.9,5,323,0,37,6,14,0,86,14.3
Billy Bowens,84144,WR,BOISE ST,2,35.7,3,120,0,10,5,14,0,33,6.6
Xavier Worthy,144718,WR,TEXAS,1,50.0,4,311,0,21,7,14,0,84,12.0
Devin Voisin,97427,WR,S ALABAMA,1,84.6,8,288,0,47,11,13,1,153,13.9
Devin Mockobee,145111,HB,PURDUE,2,69.2,2,273,0,11,9,13,0,57,6.3
Xavier Legette,99197,WR,S CAROLINA,1,53.8,2,289,0,42,7,13,2,78,11.1
Oscar Cardenas,98291,TE,UTSA,2,84.6,10,331,1,26,11,13,1,146,13.3
Jaylen Hall,61825,WR,W KENTUCKY,1,69.2,6,346,0,38,9,13,1,138,15.3
Lawrence Arnold,122546,WR,KANSAS,1,61.5,5,198,0,35,8,13,0,119,14.9
Mario Williams,144620,WR,USC,2,69.2,5,326,0,29,9,13,1,92,10.2
Jalen Moreno-Cropper,97273,WR,FRESNO ST,2,69.2,6,169,0,20,9,13,0,102,11.3
Oronde Gadsden II,144046,WR,SYRACUSE,1,53.8,4,304,0,18,7,13,0,78,11.1
Kobe Paysour,143974,WR,N CAROLINA,2,61.5,4,245,0,49,8,13,1,104,13.0
Jesse Matthews,84395,WR,S DIEGO ST,1,53.8,5,284,0,31,7,13,0,99,14.1
Antonio Williams,156241,WR,CLEMSON,2,46.2,4,140,0,25,6,13,0,81,13.5
Zane Pope,61265,WR,FRESNO ST,2,66.7,5,169,0,24,8,12,2,113,14.1
Tyrell Shavers,61107,WR,S DIEGO ST,1,33.3,2,284,1,31,4,12,0,62,15.5
Brian Thomas Jr.,146760,WR,LSU,2,50.0,4,211,0,15,6,12,1,55,9.2
Isaiah Williams,97156,WR,ILLINOIS,1,83.3,4,187,0,41,10,12,0,140,14.0
Phillip Brooks,78138,WR,KANSAS ST,2,83.3,7,199,0,16,10,12,0,92,9.2
Josh Downs,122832,WR,N CAROLINA,1,91.7,5,245,0,28,11,12,0,100,9.1
Sam Wiglusz,88315,WR,OHIO,2,58.3,4,259,0,18,7,12,0,63,9.0
Duece Watts,123237,WR,TULANE,2,41.7,5,319,0,73,5,12,1,217,43.4
Micah Bernard,100583,HB,UTAH,2,66.7,4,328,0,15,8,12,0,49,6.1
Brenden Rice,131692,WR,USC,2,75.0,8,326,0,74,9,12,2,216,24.0
Devaughn Vele,100637,WR,UTAH,2,41.7,3,328,0,47,5,12,0,100,20.0
Joshua Cephus,98095,WR,UTSA,1,91.7,5,331,0,14,11,12,0,84,7.6
Kayshon Boutte,124087,WR,LSU,1,54.5,3,211,0,53,6,11,1,107,17.8
Robert Ferrel,133220,WR,WASH STATE,1,90.9,4,341,0,12,10,11,0,65,6.5
Konata Mumpfield,145598,WR,PITTSBURGH,1,63.6,3,268,0,30,7,11,0,78,11.1
Ben Sinnott,122616,TE,KANSAS ST,2,45.5,5,199,0,26,5,11,1,80,16.0
DeMeer Blankumsee,130613,WR,TOLEDO,2,72.7,6,316,0,16,8,11,1,75,9.4
Jerjuan Newton,97308,WR,TOLEDO,2,100.0,9,316,1,20,11,11,0,119,10.8
Elijah Cooks,61501,WR,S JOSE ST,1,54.5,6,285,0,25,6,11,0,93,15.5
Khaleb Hood,97159,WR,GA SOUTHRN,1,63.6,2,174,1,13,7,11,0,29,4.1
Adonai Mitchell,146712,WR,GEORGIA,3,36.4,4,173,0,22,4,11,2,65,16.3
Tank Dell,78874,WR,HOUSTON,1,54.5,5,182,1,12,6,11,2,44,7.3
Jared Brown,147081,WR,COAST CAR,2,63.6,5,141,0,30,7,11,1,80,11.4
C.J. Johnson,104187,WR,E CAROLINA,1,63.6,4,156,1,16,7,11,1,83,11.9
Jacoby Jones,157518,WR,OHIO,2,54.5,4,259,0,34,6,11,1,82,13.7
Luther Burden III,157170,WR,MISSOURI,1,54.5,3,229,0,19,6,11,0,52,8.7
Malik Heath,124173,WR,OLE MISS,1,72.7,6,226,0,30,8,11,1,137,17.1
Cole Turner,156239,WR,CLEMSON,2,63.6,5,140,0,68,7,11,0,152,21.7
Rome Odunze,73774,WR,WASHINGTON,1,50.0,4,340,0,18,5,10,0,57,11.4
Odieu Hiliare,120861,WR,BOWL GREEN,1,40.0,2,122,1,17,4,10,0,40,10.0
Kenny McIntosh,99158,HB,GEORGIA,3,80.0,2,173,0,25,8,10,1,67,8.4
Darryl Jones,84286,WR,NC STATE,1,30.0,2,248,0,27,3,10,0,49,16.3
Trea Shropshire,121502,WR,UAB,1,60.0,6,321,0,49,6,10,1,183,30.5
Miles Cross,145887,WR,OHIO,2,70.0,3,259,0,15,7,10,0,59,8.4
Will Shipley,144138,HB,CLEMSON,2,70.0,3,140,0,11,7,10,0,42,6.0
Taye Barber,78107,WR,TCU,3,60.0,3,305,0,16,6,10,2,46,7.7
Colston Loveland,158540,TE,MICHIGAN,2,50.0,3,222,0,25,5,10,1,61,12.2
Johnny Wilson,76366,WR,FLORIDA ST,1,80.0,7,167,0,58,8,10,0,202,25.3
Chris Carpenter,131671,WR,UTSA,2,70.0,3,331,0,22,7,10,0,59,8.4
Xavier Townsend,158455,WR,UCF,2,100.0,3,323,0,10,10,10,0,53,5.3
Antoine Green,77985,WR,N CAROLINA,1,50.0,3,245,0,18,5,10,0,53,10.6
Jerand Bradley,144761,WR,TEXAS TECH,1,80.0,4,315,0,36,8,10,1,88,11.0
Dalvin Smith,98019,WR,W KENTUCKY,1,60.0,5,346,0,44,6,10,1,145,24.2
Marvin Harrison Jr.,145056,WR,OHIO STATE,1,50.0,5,260,1,31,5,10,2,106,21.2
Squirrel White,163776,WR,TENNESSEE,1,90.0,5,307,0,50,9,10,1,108,12.0
Brennan Presley,122982,WR,OKLA STATE,1,60.0,3,262,0,41,6,10,0,74,12.3
Antwane Wells Jr.,138470,WR,S CAROLINA,1,55.6,2,289,0,10,5,9,0,30,6.0
Devin Maddox,64506,WR,TOLEDO,2,33.3,2,316,0,12,3,9,0,29,9.7
Loic Fouonji,123139,WR,TEXAS TECH,1,77.8,4,315,0,27,7,9,0,98,14.0
Jared Wayne,99691,WR,PITTSBURGH,1,55.6,2,268,0,18,5,9,0,50,10.0
Silas Bolden,71674,WR,OREGON ST,1,66.7,5,265,0,34,6,9,1,101,16.8
Austin Jones,97183,HB,USC,2,88.9,4,326,0,13,8,9,0,60,7.5
RaJae' Johnson,100886,WR,TROY,2,66.7,5,318,0,67,6,9,3,175,29.2
Luke McCaffrey,101634,WR,RICE,1,77.8,4,275,0,20,7,9,0,67,9.6
Sieh Bangura,145886,HB,OHIO,2,88.9,2,259,0,13,8,9,0,31,3.9
Malik Knowles,78141,WR,KANSAS ST,2,22.2,2,199,0,40,2,9,0,46,23.0
Ryan O'Keefe,101139,WR,UCF,1,66.7,2,323,0,10,6,9,0,37,6.2
Jordan Addison,123000,WR,USC,1,55.6,1,326,0,48,5,9,0,65,13.0
Tykee Ogle-Kellogg,84493,WR,UTSA,2,33.3,2,331,0,9,3,9,0,22,7.3
Tez Johnson,123709,WR,TROY,2,77.8,4,318,0,29,7,9,0,99,14.1
Bradley Rozner,98743,WR,RICE,1,33.3,2,275,0,18,3,9,1,42,14.0
Mershawn Rice,101742,WR,PURDUE,2,66.7,2,273,0,21,6,9,0,56,9.3
Isaiah Winstead,91115,WR,E CAROLINA,1,66.7,3,156,0,27,6,9,2,72,12.0
Tai Felton,144886,WR,MARYLAND,1,44.4,4,215,0,26,4,9,0,69,17.3
Thayer Thomas,61515,WR,NC STATE,1,44.4,2,248,0,36,4,9,0,54,13.5
