player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Zabien Brown,184529,CB,ALABAMA,1,1,0,103,0,1,0,0,1
Zavier Mincey,184541,S,ALABAMA,1,2,0,103,0,0,0,0,3
Justin Okoronkwo,184544,LB,ALABAMA,1,0,0,103,0,0,0,0,0
KJ Bolden,184549,S,GEORGIA,2,3,0,173,0,0,0,0,7
Michael Boganowski,184588,S,OKLAHOMA,1,0,0,261,0,0,0,0,0
Eli Bowen,184589,CB,OKLAHOMA,1,0,0,261,0,0,0,0,4
Jaydan Hardy,184594,S,OKLAHOMA,1,0,0,261,0,0,0,0,1
Jayden Jackson,184596,DI,OKLAHOMA,1,0,0,261,0,0,0,0,3
David Stone,184605,DI,OKLAHOMA,1,0,0,261,0,0,0,0,0
Luke Holmes,184621,ED,E CAROLINA,1,0,0,156,0,0,0,0,0
Keyshawn Jackson,184622,CB,E CAROLINA,1,0,0,156,0,0,0,0,1
Kevon Merrell,184625,S,E CAROLINA,1,0,0,156,0,0,0,0,1
