player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Taylor Heinicke,9896,QB,ATL,2,2,1,2,0,10,0,0,0,0,0,14,7.0
Tre Tucker,101106,WR,LV,3,2,0,23,0,3,92,5,12,7,0,5,2.5
Blaine Gabbert,6162,QB,KC,3,2,1,16,0,7,0,0,0,1,0,6,3.0
Tanner McKee,131770,QB,PHI,3,2,0,24,0,7,0,0,0,0,0,12,6.0
Brett Rypien,46487,QB,LA,3,2,0,26,0,6,0,0,0,0,0,8,4.0
Jameis Winston,9434,QB,NO,3,2,1,20,0,7,0,0,0,0,0,14,7.0
Teddy Bridgewater,8667,QB,DET,2,2,0,11,1,3,0,0,0,1,0,-5,-2.5
Darrius Shepherd,29347,WR,LAC,1,2,1,27,0,11,-1,1,2,3,0,10,5.0
Erik Ezukanma,78148,WR,MIA,3,2,2,17,0,39,54,8,9,10,0,52,26.0
Derius Davis,78196,WR,LAC,3,2,1,27,0,16,45,5,5,7,0,19,9.5
Trace McSorley,32819,QB,NE,2,2,0,19,0,3,0,0,0,1,0,2,1.0
D'Andre Swift,57212,HB,PHI,1,2,2,24,0,22,0,0,0,2,0,24,12.0
Adam Prentice,35639,FB,NO,3,2,1,20,0,11,2,2,2,4,0,18,9.0
Kenneth Gainwell,77737,HB,PHI,1,2,0,24,0,8,0,0,0,2,0,6,3.0
Jonathan Ward,25859,HB,TEN,1,2,0,31,0,5,-3,1,1,3,0,8,4.0
Brock Purdy,77672,QB,SF,2,2,1,28,0,8,0,0,0,0,1,13,6.5
Cade Johnson,42109,WR,SEA,2,1,0,29,0,2,6,1,4,2,0,2,2.0
Tua Tagovailoa,60326,QB,MIA,2,1,0,17,1,-25,0,0,0,1,0,-25,-25.0
Patrick Mahomes,11765,QB,KC,2,1,0,16,0,5,0,0,0,0,0,5,5.0
Mac Jones,60323,QB,NE,1,1,0,19,1,4,0,0,0,0,0,4,4.0
Chris Streveler,46440,QB,NYJ,1,1,1,22,0,7,0,0,0,0,0,7,7.0
Jontre Kirklin,55630,WR,NO,3,1,1,20,0,8,127,9,14,10,0,8,8.0
Zander Horvath,57384,FB,LAC,2,1,1,27,0,2,0,0,0,1,0,2,2.0
Irvin Charles,28304,WR,NYJ,4,1,0,22,0,-2,61,3,7,4,0,-2,-2.0
Will Levis,83542,QB,TEN,1,1,0,31,0,6,0,0,0,0,0,6,6.0
Taye Barber,78107,WR,TB,3,1,1,30,0,13,43,2,5,3,0,13,13.0
Boston Scott,39462,HB,PHI,1,1,0,24,0,-1,0,0,0,1,0,-1,-1.0
Jayden Reed,78171,WR,GB,3,1,1,12,0,9,46,4,7,5,0,9,9.0
Daniel Jones,39395,QB,NYG,1,1,0,21,0,6,0,0,0,0,0,6,6.0
Devon Allen,47972,WR,PHI,2,1,0,24,0,-4,28,3,4,4,0,-4,-4.0
Xavier Smith,102585,WR,LA,2,1,0,26,0,4,25,1,1,2,0,4,4.0
Kaylon Geiger,102929,WR,TB,3,1,0,30,0,2,72,7,11,8,0,2,2.0
Shaq Davis,105710,WR,NO,3,1,0,20,0,-5,101,7,13,8,0,-5,-5.0
Trevor Siemian,9683,QB,CIN,3,1,1,7,0,7,0,0,0,0,0,7,7.0
Tyler Allgeier,83639,HB,ATL,1,1,0,2,0,-1,0,0,0,1,0,-1,-1.0
Khalan Laborn,57204,HB,SF,1,1,0,28,0,0,0,0,1,1,0,0,0.0
Rondale Moore,62890,WR,ARZ,2,1,0,1,0,3,20,3,5,4,0,3,3.0
Davis Mills,52269,QB,HST,3,1,0,13,2,-5,0,0,0,1,0,-5,-5.0
Tyjon Lindsey,61489,WR,SEA,3,1,0,29,0,-3,64,5,8,6,0,-3,-3.0
Geno Smith,7820,QB,SEA,1,1,1,29,0,2,0,0,0,1,0,2,2.0
Cade Otton,61071,TE,TB,3,1,1,30,0,12,17,2,2,3,0,12,12.0
Matt Breida,12271,HB,NYG,2,1,0,21,0,1,0,0,0,1,0,1,1.0
Isiah Pacheco,83747,HB,KC,1,1,0,16,0,0,0,0,0,1,0,0,0.0
Jordan Byrd,83748,WR,PIT,3,1,0,25,0,-4,6,1,1,2,0,-4,-4.0
Isaiah Ford,11991,WR,CHI,3,1,0,6,0,9,75,4,5,5,0,9,9.0
Aaron Jones,11937,HB,GB,2,1,0,12,0,6,6,1,1,2,0,6,6.0
Dalton Keene,61068,TE,HST,3,1,1,13,0,1,0,0,1,1,1,1,1.0
Blake Bell,9550,TE,KC,3,1,0,16,0,0,4,1,1,2,0,0,0.0
Ronnie Bell,84288,WR,SF,3,1,1,28,1,15,172,10,15,11,0,15,15.0
Elijah Moore,84302,WR,CLV,2,1,1,8,0,18,14,3,4,4,0,18,18.0
Deven Thompkins,84480,WR,TB,3,1,0,30,0,8,22,4,6,5,0,8,8.0
Gardner Minshew,41401,QB,IND,3,1,0,14,0,2,0,0,0,0,0,2,2.0
Jalen Virgil,41991,WR,DEN,2,1,1,10,0,25,50,1,3,2,0,25,25.0
Marvin Mims Jr.,122937,WR,DEN,2,1,0,10,0,3,59,3,4,4,0,3,3.0
Chase Garbers,60356,QB,LV,2,1,0,23,0,3,0,0,0,0,0,3,3.0
Josh Allen,46601,QB,BUF,2,1,0,4,0,-6,0,0,0,0,0,-6,-6.0
Gunner Olszewski,95015,WR,PIT,3,1,0,25,0,4,63,7,11,8,0,4,4.0
Desmond Ridder,55086,QB,ATL,1,1,1,2,0,7,0,0,0,0,0,7,7.0
Jerick McKinnon,8731,HB,KC,3,1,1,16,0,19,36,2,2,3,0,19,19.0
Brandon Bolden,7469,HB,LV,1,1,1,23,0,7,0,0,0,1,1,7,7.0
Zay Flowers,97268,WR,BLT,2,1,0,3,0,1,37,2,2,3,0,1,1.0
Rakim Jarrett,129519,WR,TB,2,1,0,30,0,-3,132,7,8,8,0,-3,-3.0
