player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Zach Gibson,100201,QB,GA TECH,6,104,54.8,57,30,176,2,66.5,12,1,589,5.7
Nevan Cremascoli,158044,QB,N ILLINOIS,4,103,47.6,49,35,254,7,53.9,2,5,600,5.8
Trey Lowe,77669,QB,SO MISS,6,103,53.4,55,36,296,2,80.4,13,3,795,7.7
Athan Kaliakmanis,144971,QB,MINNESOTA,9,102,52.0,53,39,225,4,74.2,6,3,866,8.5
Jacob Zeno,98014,QB,UAB,6,101,55.4,56,38,321,3,80.2,5,5,674,6.7
Owen McCown,157688,QB,COLORADO,4,100,57.0,57,23,143,2,73.1,10,2,605,6.1
Brendan Sullivan,145034,QB,NWESTERN,5,96,74.0,71,34,256,3,90.1,13,4,589,6.1
Tai Lavatai,121854,QB,NAVY,8,96,43.8,42,28,237,3,77.0,5,5,787,8.2
Hank Bachmeier,101284,QB,BOISE ST,4,94,54.3,51,27,120,3,77.3,7,6,497,5.3
Haden Carlson,123620,QB,FIU,7,90,53.3,48,27,166,5,64.2,3,4,562,6.2
MJ Morris,157404,QB,NC STATE,5,87,59.8,52,30,248,1,105.0,9,7,648,7.4
Joey Yellen,71430,QB,HAWAII,4,87,46.0,40,16,180,2,46.3,7,0,324,3.7
Garret Rangel,157795,QB,OKLA STATE,3,84,53.6,45,24,262,3,63.7,6,2,482,5.7
Zach Pyron,156309,QB,GA TECH,3,83,59.0,49,31,176,3,76.8,7,3,569,6.9
Mikey Keene,70961,QB,UCF,4,83,72.3,60,32,323,1,113.9,4,6,647,7.8
Garrett Greene,123420,QB,W VIRGINIA,6,78,55.1,43,25,343,3,79.7,4,5,493,6.3
Ben Finley,122864,QB,NC STATE,2,77,55.8,43,25,248,1,81.7,3,3,472,6.1
Haaziq Daniels,125263,QB,AIR FORCE,12,77,45.5,35,29,101,2,95.1,11,6,739,9.6
Gino Campiotti,78504,QB,UMASS,6,74,44.6,33,16,216,6,29.2,4,2,261,3.5
Rocky Lombardi,60452,QB,N ILLINOIS,4,74,66.2,49,31,254,1,110.3,2,5,642,8.7
Braxton Burmeister,60513,QB,S DIEGO ST,6,72,50.0,36,20,284,3,50.9,6,2,263,3.7
Max Johnson,124099,QB,TEXAS A&M,4,71,60.6,43,26,312,0,97.0,11,3,517,7.3
Devin Kargman,156913,QB,KENT STATE,6,70,41.4,29,16,201,3,53.8,3,3,348,5.0
Xavier Williams,145579,QB,CHARLOTTE,4,67,49.3,33,18,136,2,66.8,5,2,421,6.3
Jack Chambers,60359,QB,NC STATE,6,64,50.0,32,15,248,0,65.4,6,1,252,3.9
Jarret Doege,60353,QB,TROY,6,63,68.3,43,26,318,3,103.2,8,5,569,9.0
Calvin Brownholtz,83584,QB,UTEP,6,63,58.7,37,26,330,4,79.6,3,4,512,8.1
Matthew Downing,82120,QB,LA TECH,4,62,51.6,32,16,208,4,57.6,7,3,346,5.6
Jase Bauer,145714,QB,C MICHIGAN,6,60,56.7,34,25,134,5,49.1,6,1,417,7.0
Harrison Bailey,124266,QB,UNLV,5,59,54.2,32,16,325,1,74.1,7,2,320,5.4
Justin Holaday,163350,QB,NEW MEXICO,4,59,44.1,26,15,241,1,47.4,12,0,222,3.8
Drew Allar,164157,QB,PENN STATE,9,59,59.3,35,25,266,0,98.4,3,4,344,5.8
Joe Milton III,82151,QB,TENNESSEE,7,54,63.0,34,22,307,0,146.2,0,7,720,13.3
T.J. Finley,124093,QB,AUBURN,4,53,62.3,33,26,115,4,62.7,6,1,431,8.1
CJ Montes,146114,QB,NEW MEXICO,4,52,51.9,27,8,241,1,51.3,7,0,174,3.3
Jalen Milroe,146590,QB,ALABAMA,7,52,59.6,31,27,103,3,83.6,5,5,297,5.7
Evan Prater,123576,QB,CINCINNATI,6,51,54.9,28,20,138,1,67.4,5,0,340,6.7
Byrum Brown,156206,QB,USF,4,50,72.0,36,23,327,1,121.8,6,5,416,8.3
Tyler Buchner,147472,QB,NOTRE DAME,2,50,56.0,28,16,258,2,63.6,5,0,378,7.6
Carlos Del Rio-Wilson,146687,QB,SYRACUSE,6,50,44.0,22,15,304,1,65.6,11,1,342,6.8
Cameron Friel,146195,QB,UNLV,4,49,67.3,33,17,325,1,101.1,9,3,364,7.4
Preston Stone,124716,QB,SMU,5,48,58.3,28,17,287,1,89.6,2,2,388,8.1
Noah Vedral,55406,QB,RUTGERS,3,47,46.8,22,12,278,1,62.7,2,1,264,5.6
Chubba Purdy,122412,QB,NEBRASKA,6,47,46.8,22,11,238,3,27.5,6,0,147,3.1
Cade Ballard,102861,QB,ARMY,7,46,43.5,20,12,114,2,67.6,4,2,363,7.9
Jacurri Brown,156344,QB,MIAMI FL,5,46,58.7,27,15,220,3,66.4,5,3,230,5.0
Nicholas Vattiato,145302,QB,MIDDLE TN,2,46,63.0,29,15,224,1,71.7,8,0,289,6.3
Billy Edwards Jr.,144185,QB,MARYLAND,6,45,60.0,27,14,215,0,98.7,9,3,263,5.8
Cole Freeman,145032,QB,NWESTERN,3,45,48.9,22,11,256,5,19.7,3,0,178,4.0
Jarrett Guest,97997,QB,COAST CAR,5,44,45.5,20,15,141,4,38.5,8,1,305,6.9
William Atkins IV,148354,QB,JAMES MAD,3,43,44.2,19,9,197,5,35.4,8,2,212,4.9
Alex Padilla,86285,QB,IOWA,2,43,48.8,21,8,192,2,47.9,5,1,173,4.0
Garrett Nussmeier,146757,QB,LSU,5,42,61.9,26,13,211,2,74.8,0,1,333,7.9
Mitch Griffis,123386,QB,WAKE,5,41,70.7,29,19,339,1,125.8,5,5,348,8.5
AJ Padgett,163006,QB,RICE,2,41,51.2,21,12,275,1,85.7,3,2,343,8.4
Shawqi Itraish,145393,QB,RICE,3,39,53.8,21,11,275,3,35.1,2,0,189,4.8
Gunnar Gundy,144649,QB,OKLA STATE,3,39,48.7,19,9,262,4,55.7,3,3,252,6.5
Dexter Williams II,129457,QB,INDIANA,4,38,34.2,13,11,190,2,46.4,8,2,184,4.8
Bryson Barnes,131845,QB,UTAH,4,38,71.1,27,14,328,1,111.5,1,3,318,8.4
Jemel Jones,102863,QB,ARMY,7,38,34.2,13,8,114,1,55.6,4,1,248,6.5
AJ Mayer,63860,QB,ARK STATE,4,38,50.0,19,10,113,1,73.8,1,2,214,5.6
Garrett Dzuro,64526,QB,UMASS,4,38,63.2,24,15,216,0,97.3,8,1,308,8.1
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,2,37,45.9,17,9,144,2,48.7,2,1,194,5.2
Camden Orth,108965,QB,BOWL GREEN,6,35,57.1,20,11,122,2,67.2,3,2,187,5.3
CJ Harris,130594,QB,OHIO,4,33,45.5,15,9,259,0,79.1,1,1,230,7.0
Bishop Davenport,163426,QB,UTAH ST,2,33,54.5,18,11,329,1,52.3,7,0,138,4.2
Austin Burton,60577,QB,PURDUE,2,32,75.0,24,12,273,1,108.7,1,3,199,6.2
Giles Pooler,146019,QB,COLO STATE,1,32,34.4,11,6,144,1,36.5,3,0,144,4.5
Tate Rodemaker,122414,QB,FLORIDA ST,6,32,56.3,18,11,167,2,76.8,4,2,254,7.9
Carson Beck,124010,QB,GEORGIA,5,31,74.2,23,14,173,0,131.3,0,3,261,8.4
Davis Beville,99588,QB,OKLAHOMA,3,30,50.0,15,6,261,1,44.0,6,0,102,3.4
D'Wan Mathis,99130,WR,TEMPLE,3,30,46.7,14,5,306,0,58.3,3,0,125,4.2
Cade Fortin,77620,QB,ARKANSAS,3,29,48.3,14,7,111,0,73.2,3,1,135,4.7
Jack Turner,162969,QB,LA TECH,2,29,55.2,16,11,208,2,53.2,3,1,156,5.4
Jayden Clemons,100571,QB,WYOMING,3,29,41.4,12,8,351,3,29.3,0,1,145,5.0
Justin Lynch,144392,QB,N ILLINOIS,4,29,44.8,13,6,254,0,60.4,1,0,146,5.0
Kaiya Sheron,62530,QB,KENTUCKY,2,29,58.6,17,8,202,1,86.4,6,2,187,6.4
James Foster,83563,QB,CHARLOTTE,5,28,42.9,12,8,136,1,72.0,3,2,170,6.1
Ethan Garbers,131896,QB,UCLA,4,28,71.4,20,12,324,1,108.5,1,2,255,9.1
Maddox Kopp,144251,QB,COLORADO,1,28,53.6,15,8,143,0,76.9,1,1,123,4.4
Chandler Morris,122938,QB,TCU,2,26,69.2,18,8,305,0,95.8,0,1,145,5.6
Malik Hornsby,123957,QB,ARKANSAS,5,26,46.2,12,12,111,2,60.6,5,1,245,9.4
Cade McNamara,101620,QB,MICHIGAN,3,26,53.8,14,7,222,1,72.6,4,1,180,6.9
Artur Sitkowski,83547,QB,ILLINOIS,3,25,72.0,18,5,187,1,63.9,0,0,111,4.4
Eddie Lee Marburger,145511,QB,UTSA,6,25,40.0,10,8,331,0,65.4,2,1,100,4.0
Brendon Lewis,131687,QB,COLORADO,2,24,62.5,15,5,143,0,70.1,2,0,92,3.8
Kai Horton,144418,QB,TULANE,3,23,56.5,13,9,319,0,118.7,3,3,165,7.2
Cade Klubnik,156253,QB,CLEMSON,6,22,50.0,11,6,140,1,58.5,2,1,98,4.5
Kyron Drones,144506,QB,BAYLOR,3,22,63.6,14,13,118,1,92.8,0,1,219,10.0
Kevin Jennings,158272,QB,SMU,3,22,77.3,17,11,287,0,120.5,1,1,205,9.3
Gunnar Holmberg,77625,QB,FIU,1,21,66.7,14,7,166,0,93.9,1,1,103,4.9
Jake Lange,121467,QB,SO MISS,4,21,52.4,11,6,296,1,47.7,3,0,110,5.2
Kyle McCord,145053,QB,OHIO STATE,6,20,80.0,16,8,260,0,122.9,0,1,190,9.5
Nick Patti,77614,QB,PITTSBURGH,1,20,45.0,9,4,268,0,72.7,2,1,79,4.0
Ty Thompson,146568,QB,OREGON,5,20,55.0,11,5,264,2,23.3,0,0,72,3.6
Noah Fifita,158722,QB,ARIZONA,3,19,47.4,9,4,109,0,87.2,0,1,128,6.7
