player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Marcus Young,145710,TE,C MICHIGAN,12,100.0,1,134,0,10,3,3,0,16,5.3
Marcus Harris,145776,WR,KENT STATE,5,66.7,1,201,0,13,2,3,0,16,8.0
Keyon Mozee,145809,HB,MIAMI OH,10,66.7,0,221,0,4,2,3,0,6,3.0
Jordan Johnson,146076,HB,HAWAII,4,100.0,3,180,0,14,3,3,0,38,12.7
Brennan Holmes,146468,WR,WASHINGTON,2,33.3,1,340,0,15,1,3,0,15,15.0
Christian Leary,146589,WR,ALABAMA,5,33.3,0,103,0,6,1,3,0,6,6.0
Chris Lewis,146744,WR,KENTUCKY,4,66.7,1,202,0,20,2,3,1,22,11.0
Ethan Davies,151077,WR,VIRGINIA,4,33.3,0,335,0,7,1,3,0,7,7.0
Gavin Garcia,156916,HB,KENT STATE,6,33.3,1,201,0,24,1,3,0,24,24.0
Jaylen Anderson,157350,HB,W VIRGINIA,6,66.7,1,343,0,15,2,3,0,17,8.5
Tucker Holloway,157640,WR,VA TECH,3,100.0,1,337,0,8,3,3,0,18,6.0
Clevester Hines,157959,CB,BUFFALO,4,66.7,1,126,1,12,2,3,0,22,11.0
Johnny Martin,157967,HB,CHARLOTTE,4,100.0,1,136,0,13,3,3,0,27,9.0
Chris Brazzell II,158409,WR,TULANE,2,33.3,1,319,0,11,1,3,0,11,11.0
Bo Estes,158616,TE,UCONN,11,33.3,0,146,0,6,1,3,0,6,6.0
CJ Nelson,162514,WR,HOUSTON,5,66.7,0,182,0,4,2,3,0,7,3.5
Jamari Hawkins,162523,WR,MEMPHIS,2,33.3,1,218,0,14,1,3,0,14,14.0
Nathan Kent,162558,WR,NAVY,5,33.3,1,237,0,32,1,3,0,32,32.0
Easton Messer,163051,WR,W KENTUCKY,3,33.3,1,346,0,44,1,3,1,44,44.0
Zavion Thomas,163697,WR,MISS STATE,3,66.7,0,227,0,5,2,3,0,4,2.0
Dylan Sampson,163772,HB,TENNESSEE,8,100.0,1,307,0,19,3,3,0,24,8.0
Nick Rempert,97933,WR,TULSA,5,50.0,0,320,0,3,1,2,0,3,3.0
Preston Bacon,97869,WR,NWESTERN,7,0.0,0,256,0,0,0,2,0,0,
Dacari Collins,144111,WR,CLEMSON,3,50.0,0,140,0,8,1,2,0,8,8.0
Chris Parker,145725,WR,C MICHIGAN,5,100.0,2,134,0,9,2,2,0,15,7.5
Bo Nix,97790,QB,OREGON,12,100.0,2,264,0,18,2,2,1,36,18.0
Rasheen Ali,121717,HB,MARSHALL,2,100.0,1,214,0,5,2,2,1,10,5.0
Mekhi Mews,155982,WR,GEORGIA,3,100.0,0,173,0,6,2,2,0,9,4.5
Tyson Thompson,121708,WR,RICE,4,0.0,0,275,0,0,0,2,0,0,
Tyson Riley,121605,FB,ARMY,10,50.0,0,114,0,2,1,2,0,2,2.0
Tyler Holzworth,164173,HB,PENN STATE,3,100.0,1,266,0,9,2,2,0,16,8.0
Jayson Littlejohn,156210,TE,USF,5,100.0,2,327,0,17,2,2,2,34,17.0
Dane Pardridge,158042,WR,N ILLINOIS,1,0.0,0,254,0,0,0,2,0,0,
Marvin Landy,136896,FB,FAU,10,100.0,2,165,0,24,2,2,0,35,17.5
JJ Pegues,123998,DI,OLE MISS,2,50.0,1,226,0,1,1,2,1,1,1.0
Brandon Hayes,121459,WR,SO MISS,1,50.0,1,296,0,23,1,2,0,23,23.0
Jacob Hopper,121421,TE,S ALABAMA,10,100.0,1,288,0,13,2,2,0,21,10.5
Drake Owen,136162,WR,WASH STATE,2,50.0,0,341,0,4,1,2,0,4,4.0
Ryan Hoerstkamp,146882,TE,MISSOURI,5,100.0,1,229,0,32,2,2,1,32,16.0
Brandon Frazier,123985,TE,AUBURN,8,100.0,1,115,0,12,2,2,0,19,9.5
Ze'Vian Capers,123979,WR,AUBURN,3,50.0,0,115,0,16,1,2,0,16,16.0
Trey Sanders,97433,HB,ALABAMA,4,100.0,2,103,0,10,2,2,0,13,6.5
Kelvin Dean Jr.,97429,HB,FAU,3,100.0,2,165,0,14,2,2,0,22,11.0
Mike Roussos,109671,WR,FLORIDA ST,2,100.0,1,167,0,16,2,2,0,16,8.0
Griffin Waiss,146476,TE,WASHINGTON,4,50.0,1,340,0,21,1,2,0,21,21.0
Jaylen Wright,146934,HB,TENNESSEE,12,100.0,0,307,0,5,2,2,0,8,4.0
Malik Hornsby,123957,QB,ARKANSAS,7,100.0,1,111,2,9,2,2,0,8,4.0
Tank Smith,109112,HB,PENN STATE,5,50.0,0,266,0,2,1,2,0,2,2.0
Elijah Downing,104959,WR,LOUISVILLE,2,50.0,0,210,0,7,1,2,0,7,7.0
Zac Larrier,104193,QB,AIR FORCE,2,50.0,1,101,0,37,1,2,0,37,37.0
Christian Brown,130427,HB,C MICHIGAN,4,100.0,1,134,0,12,2,2,0,21,10.5
Veshe Daniyan,102946,TE,ARMY,8,0.0,0,114,0,0,0,2,0,0,
Dalen Cambre,102933,WR,LA LAFAYET,5,100.0,1,207,0,24,2,2,0,34,17.0
Addison Ostrenga,156430,TE,IOWA,6,50.0,0,192,0,6,1,2,0,6,6.0
Gabe Sulser,89528,WR,TEXAS,2,100.0,1,311,0,6,2,2,0,10,5.0
Ajay Allen,156470,HB,NEBRASKA,4,50.0,1,238,0,9,1,2,0,9,9.0
Zahir Abdus-Salaam,145933,HB,W MICHIGAN,11,50.0,0,347,0,-2,1,2,0,-2,-2.0
Khiyon Wafer,123684,WR,HOUSTON,4,50.0,0,182,0,6,1,2,0,6,6.0
Amari Daniels,146991,HB,TEXAS A&M,5,100.0,0,312,0,4,2,2,0,1,0.5
Grant Frerking,84432,WR,TENNESSEE,3,50.0,0,307,0,4,1,2,0,4,4.0
Joshua Meredith,146507,WR,WASH STATE,2,50.0,0,341,0,5,1,2,0,5,5.0
Brad Dennis,84421,WR,SO MISS,4,0.0,0,296,0,0,0,2,0,0,
Kaden Saunders,164184,WR,PENN STATE,2,100.0,2,266,0,13,2,2,0,21,10.5
Jonzell Norrils,130308,HB,AKRON,6,100.0,1,102,0,8,2,2,0,12,6.0
Sean Clifford,51708,QB,PENN STATE,12,100.0,1,266,2,25,2,2,0,24,12.0
Dwartney Wortham,158457,WR,UCF,2,100.0,1,323,0,24,2,2,0,30,15.0
Cedric Patterson III,84332,WR,RICE,1,50.0,0,275,0,4,1,2,0,4,4.0
Kaleb Carter,84262,WR,LA LAFAYET,8,100.0,0,207,0,6,2,2,0,11,5.5
Riley Nowakowski,129928,FB,WISCONSIN,7,0.0,0,349,0,0,0,2,0,0,
Carlos Sandy,84215,WR,NEVADA,3,100.0,0,239,0,3,2,2,0,4,2.0
