player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Will Koch,128088,QB,UMASS,3,16,5,216,1,25,-5,1,1,14,0,91,5.7
Noah Whittington,123472,HB,W KENTUCKY,7,16,4,346,0,15,6,2,2,18,0,39,2.4
Chase Hayden,57137,HB,E CAROLINA,2,16,2,156,1,10,31,1,1,17,0,57,3.6
Fred Payton,82102,QB,COAST CAR,8,16,5,141,3,22,0,0,0,10,0,75,4.7
Quincy Patterson II,77626,QB,VA TECH,3,16,6,337,0,10,0,0,0,16,1,61,3.8
ZaQuandre White,57205,HB,S CAROLINA,5,16,3,289,2,21,-8,2,2,18,0,55,3.4
O'Shaan Allison,77801,HB,OHIO,3,16,2,259,0,7,13,1,1,17,0,57,3.6
Tevaka Tuioti,40663,QB,NEW MEXICO,2,16,9,241,0,26,0,0,0,5,1,161,10.1
Joe Davis,100590,HB,COLORADO,4,16,2,143,0,8,4,1,1,17,0,28,1.8
Nick Starkel,40326,QB,S JOSE ST,6,16,0,285,1,6,0,0,0,12,0,-4,-0.3
Shakif Seymour,40052,HB,TOLEDO,2,16,8,316,0,33,10,2,2,18,2,127,7.9
Armani Rogers,40034,QB,OHIO,3,16,10,259,0,29,0,0,0,13,2,133,8.3
Keon Howard,40418,QB,TULANE,6,16,8,319,1,24,0,0,0,12,1,88,5.5
C.J. Jones,57426,HB,W KENTUCKY,3,16,6,346,0,16,0,0,0,16,1,87,5.4
Zach Smith,25631,QB,TULSA,7,16,2,320,3,16,0,0,0,9,0,34,2.1
King Doerue,97192,HB,PURDUE,4,16,5,273,0,16,20,1,2,17,0,71,4.4
Grant Gunnell,98367,QB,ARIZONA,4,15,8,109,6,19,0,0,0,4,0,90,6.0
Eli Peters,40041,QB,TOLEDO,4,15,6,316,5,28,0,0,0,1,0,117,7.8
Chubba Purdy,122412,QB,FLORIDA ST,3,15,2,167,3,21,0,0,0,5,0,78,5.2
Cam Davis,72376,HB,WASHINGTON,4,15,4,340,0,17,26,5,5,20,0,67,4.5
Dustin Fletcher,130553,QB,N ILLINOIS,3,15,6,254,2,28,0,0,0,15,0,103,6.9
Darius Bracy,55048,HB,C MICHIGAN,4,15,3,134,1,43,0,0,0,15,0,95,6.3
Kylin Hill,57306,HB,MISS STATE,3,15,3,227,0,12,234,23,27,38,0,58,3.9
Kalil Pimpleton,61799,WR,C MICHIGAN,6,15,5,134,1,65,280,27,41,40,3,130,8.7
Jack Colletto,83540,LB,OREGON ST,6,15,13,265,0,40,0,0,0,15,2,128,8.5
Isaiah Johnson,121892,HB,N TEXAS,2,15,4,251,0,16,6,1,1,16,1,65,4.3
Mike Wright Jr.,124366,QB,VANDERBILT,5,15,2,333,2,11,0,0,0,14,1,35,2.3
Micah Bernard,100583,HB,UTAH,5,15,4,328,0,25,25,4,6,19,0,76,5.1
Marcus Carroll,123849,HB,GA STATE,6,15,2,175,0,6,0,0,1,15,2,45,3.0
Daevon Vigilant,40173,HB,NEW MEXICO,4,15,2,241,0,10,11,5,5,20,0,65,4.3
Elijah Moore,84302,WR,OLE MISS,8,14,3,226,0,13,1193,86,101,100,0,64,4.6
Ontario Russell,97269,HB,MIAMI OH,3,14,1,221,1,6,0,0,0,14,0,19,1.4
Hank Bachmeier,101284,QB,BOISE ST,4,14,5,120,1,7,0,0,0,11,1,18,1.3
Carson Strong,83524,QB,NEVADA,8,14,1,239,3,14,0,0,0,4,0,46,3.3
Jirehl Brock,97291,HB,IOWA STATE,6,14,4,193,0,11,26,3,3,17,0,46,3.3
Devin Leary,77628,QB,NC STATE,4,14,4,248,2,20,0,0,0,9,0,57,4.1
Alan Bowman,77679,QB,TEXAS TECH,8,14,2,315,4,9,0,0,0,9,0,26,1.9
D'Wan Mathis,99130,QB,GEORGIA,4,14,3,173,2,17,0,0,0,9,0,55,3.9
Jack Plummer,83543,QB,PURDUE,3,14,3,273,3,14,0,0,0,7,1,42,3.0
Daniel Carter,99572,HB,PITTSBURGH,9,14,6,268,1,9,5,1,2,15,1,55,3.9
Keegan Jones,100594,HB,UCLA,5,14,4,324,0,16,39,4,5,18,1,65,4.6
Taye Barber,78107,WR,TCU,10,14,3,305,1,10,323,30,45,44,0,65,4.6
Kyle Dobbins,77731,HB,TEMPLE,3,14,2,306,1,16,0,0,0,14,0,54,3.9
Lindell Stone,62774,QB,VIRGINIA,6,14,2,335,1,6,-3,1,1,9,0,19,1.4
Baden Pinson,54436,FB,COAST CAR,8,14,5,141,0,17,22,2,2,16,1,78,5.6
Dawaiian McNeely,97815,HB,WYOMING,2,14,4,351,0,14,0,0,0,14,0,55,3.9
Calvin Tyler Jr.,52133,HB,OREGON ST,3,14,5,265,0,11,9,2,3,16,2,45,3.2
Tyson Riley,121605,FB,ARMY,3,13,4,114,0,11,0,0,0,13,0,59,4.5
Ryan Montgomery,101063,HB,CINCINNATI,5,13,0,138,0,6,12,2,2,15,0,30,2.3
Tyler Burns,40130,HB,KANSAS ST,8,13,2,199,1,10,7,2,2,15,0,32,2.5
Patrick O'Brien,40273,QB,COLO STATE,4,13,5,144,1,25,0,0,0,4,2,62,4.8
Carter Bradley,77685,QB,TOLEDO,4,13,7,316,3,20,0,0,0,5,0,87,6.7
Todd Sibley Jr.,57382,HB,PITTSBURGH,6,13,4,268,0,13,7,1,1,14,1,54,4.2
Larry Wooden,55808,HB,UAB,3,13,1,321,0,11,-2,1,1,14,0,36,2.8
Chance Lovertich,121427,QB,S ALABAMA,6,13,3,288,1,24,0,0,0,3,0,73,5.6
T.J. Hammonds,41365,WR,ARKANSAS,8,13,5,111,1,29,53,3,6,16,0,115,8.8
Luca Diamont,122370,QB,DUKE,1,13,4,154,1,23,0,0,0,11,0,48,3.7
Miller Mosley,64159,QB,GA SOUTHRN,3,13,4,174,2,11,0,0,0,13,0,50,3.8
Tristan Gebbia,60475,QB,OREGON ST,4,13,6,265,3,13,8,1,1,11,2,24,1.8
