player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Dayton Wade,97181,WR,BLT,3,50.0,4,3,0,16,5,10,0,60,12.0
Courtland Sutton,48164,WR,DEN,2,50.0,3,10,0,43,5,10,1,85,17.0
Ainias Smith,99207,WR,PHI,3,60.0,2,24,0,10,6,10,2,40,6.7
Elic Ayomanor,157263,WR,TEN,3,50.0,3,31,0,35,5,10,0,72,14.4
Arian Smith,124039,WR,NYJ,3,40.0,3,22,0,23,4,10,0,57,14.3
David Moore,11981,WR,CAR,3,50.0,2,5,1,17,5,10,0,52,10.4
LaJohntay Wester,123616,WR,BLT,3,44.4,3,3,0,30,4,9,0,69,17.3
Xavier Weaver,101130,WR,ARZ,3,55.6,4,1,0,17,5,9,1,51,10.2
LeQuint Allen,158290,HB,JAX,2,88.9,5,15,0,12,8,9,0,44,5.5
Austin Trammell,52195,WR,JAX,3,77.8,2,15,0,12,7,9,0,48,6.9
Tory Horton,128232,WR,SEA,2,44.4,3,29,0,13,4,9,1,43,10.8
Kristian Wilkerson,28729,WR,BUF,3,77.8,3,4,0,25,7,9,0,91,13.0
Thomas Fidone II,144997,TE,NYG,3,88.9,4,21,0,28,8,9,1,64,8.0
Cody White,61448,WR,SEA,3,55.6,5,29,0,26,5,9,1,95,19.0
Jacob Saylors,87559,HB,DET,4,77.8,2,11,0,14,7,9,0,52,7.4
Tanner Conner,22777,TE,MIA,3,66.7,2,17,0,13,6,9,0,48,8.0
Laquon Treadwell,10657,WR,IND,3,77.8,4,14,0,59,7,9,1,140,20.0
Bryson Nesbit,143973,TE,MIN,3,55.6,3,18,0,24,5,9,1,73,14.6
Brenden Rice,131692,WR,LAC,4,33.3,2,27,0,13,3,9,0,32,10.7
Trey Sermon,57372,HB,PIT,3,88.9,3,25,0,11,8,9,1,46,5.8
Robert Tonyan,12193,TE,KC,3,88.9,6,16,0,20,8,9,1,90,11.3
Tyler Badie,83714,HB,DEN,3,88.9,3,10,0,17,8,9,0,56,7.0
Scott Miller,47481,WR,PIT,3,100.0,6,25,0,53,9,9,0,167,18.6
Jonathan Ward,25859,HB,NYG,3,77.8,3,21,0,41,7,9,2,80,11.4
Darius Cooper,136866,WR,PHI,3,77.8,5,24,0,20,7,9,1,90,12.9
Ashton Dulin,91479,WR,IND,2,44.4,3,14,0,25,4,9,0,72,18.0
Jeremiah Webb,104838,WR,NE,3,66.7,3,19,0,33,6,9,1,80,13.3
Shedrick Jackson,84136,WR,LV,3,88.9,4,23,0,41,8,9,1,133,16.6
E.J. Jenkins,109834,TE,PHI,3,55.6,2,24,0,13,5,9,0,41,8.2
Devontez Walker,145773,WR,BLT,3,66.7,4,3,0,17,6,9,0,61,10.2
Malik Heath,124173,WR,GB,3,33.3,1,12,0,10,3,9,0,23,7.7
Collin Johnson,47808,WR,LV,3,55.6,4,23,0,11,5,9,0,42,8.4
Konata Mumpfield,145598,WR,LA,2,44.4,3,26,0,18,4,9,1,36,9.0
Thayer Thomas,61515,WR,MIN,3,55.6,0,18,0,9,5,9,0,27,5.4
Julian Hicks,55059,WR,GB,3,62.5,2,12,0,14,5,8,0,31,6.2
Kendric Pryor,40408,WR,CIN,3,37.5,2,7,0,20,3,8,0,35,11.7
Tyler Scott,123578,WR,CHI,3,87.5,5,6,0,35,7,8,1,99,14.1
D'Ernest Johnson,45734,HB,BLT,3,62.5,1,3,0,9,5,8,0,26,5.2
Quintin Morris,61182,TE,JAX,3,100.0,3,15,0,23,8,8,0,80,10.0
Garrett Greene,123420,WR,TB,3,100.0,5,30,0,13,8,8,1,65,8.1
Lance McCutcheon,61478,WR,PIT,3,62.5,5,25,0,24,5,8,1,66,13.2
Rakim Jarrett,129519,WR,TB,3,25.0,1,30,0,18,2,8,0,26,13.0
Taylor Morin,97213,WR,PHI,3,62.5,3,24,0,24,5,8,0,46,9.2
Lil'Jordan Humphrey,42247,WR,NYG,3,75.0,3,21,0,38,6,8,1,94,15.7
Rasheen Ali,121717,HB,BLT,3,75.0,3,3,0,13,6,8,0,26,4.3
Roc Taylor,144283,WR,PIT,2,62.5,4,25,0,22,5,8,0,77,15.4
Max Hurleman,143017,WR,PIT,3,37.5,2,25,0,26,3,8,1,33,11.0
Dorian Singer,146243,WR,JAX,3,87.5,2,15,0,21,7,8,0,59,8.4
Greg Dulcich,84068,TE,NYG,3,87.5,4,21,0,20,7,8,3,53,7.6
Dont'e Thornton Jr.,146547,WR,LV,3,37.5,3,23,0,17,3,8,1,43,14.3
Dontae Fleming,122634,WR,MIN,3,37.5,3,18,0,36,3,8,0,71,23.7
Skyy Moore,97116,WR,SF,3,37.5,1,28,0,12,3,8,0,19,6.3
Deon Cain,13597,WR,BUF,3,50.0,3,4,0,17,4,8,0,49,12.3
Mecole Hardman Jr.,42683,WR,GB,3,37.5,1,12,0,21,3,8,0,30,10.0
Adonai Mitchell,146712,WR,IND,3,50.0,2,14,0,22,4,8,0,49,12.3
Anthony Miller,48160,WR,BLT,3,50.0,2,3,0,25,4,8,0,55,13.8
Cedrick Wilson Jr.,48170,WR,NO,3,75.0,3,20,0,21,6,8,0,53,8.8
Isaiah Hodgins,52130,WR,SF,3,50.0,4,28,0,11,4,8,0,36,9.0
Trayveon Williams,45775,HB,CLV,3,62.5,1,8,0,15,5,8,0,33,6.6
Demarcus Robinson,10760,WR,SF,3,87.5,5,28,0,24,7,8,1,94,13.4
Quintez Cephus,29614,WR,HST,3,50.0,3,13,0,18,4,8,1,51,12.8
Jalin Hyatt,124282,WR,NYG,2,50.0,2,21,0,27,4,8,1,59,14.8
Luke Grimm,122561,WR,LAC,3,50.0,1,27,0,15,4,8,1,34,8.5
Russell Gage,44771,WR,SF,2,71.4,1,28,0,11,5,7,0,28,5.6
Devin Culp,84080,TE,TB,3,71.4,3,30,1,22,5,7,0,46,9.2
Parker Washington,129799,WR,JAX,2,71.4,3,15,0,12,5,7,1,24,4.8
Jimmy Horn Jr.,144483,WR,CAR,3,85.7,1,5,0,13,6,7,0,29,4.8
Tejhaun Palmer,145443,WR,ARZ,3,42.9,1,1,0,7,3,7,0,18,6.0
Ajou Ajou,122137,WR,IND,3,57.1,1,14,0,9,4,7,0,27,6.8
Jaylin Lane,121811,WR,WAS,2,42.9,3,32,0,16,3,7,0,42,14.0
Jason Brownlee,121451,WR,KC,3,28.6,2,16,0,16,2,7,1,17,8.5
Lew Nichols,97187,HB,PIT,3,71.4,1,25,0,23,5,7,0,36,7.2
Jalen Brooks,111284,WR,DAL,3,71.4,4,9,0,29,5,7,1,72,14.4
Nikko Remigio,84150,WR,KC,3,71.4,2,16,0,18,5,7,0,40,8.0
Elijah Moore,84302,WR,BUF,3,57.1,0,4,0,9,4,7,0,13,3.3
Xavier Smith,102585,WR,LA,2,100.0,5,26,0,39,7,7,0,104,14.9
Samori Toure,25276,WR,CHI,3,71.4,4,6,0,26,5,7,0,72,14.4
Chris Olave,84355,WR,NO,2,71.4,2,20,0,12,5,7,0,41,8.2
Kaden Davis,156151,WR,CLV,3,85.7,4,8,0,29,6,7,2,67,11.2
Phillip Dorsett,9462,WR,LV,3,42.9,3,23,0,14,3,7,0,36,12.0
Jesse Matthews,84395,WR,ATL,3,42.9,2,2,0,8,3,7,0,20,6.7
Traeshon Holden,123917,WR,DAL,3,57.1,1,9,0,35,4,7,0,64,16.0
Treyton Welch,98097,TE,NO,3,85.7,2,20,0,28,6,7,0,65,10.8
Jayden Higgins,150240,WR,HST,3,71.4,2,13,0,14,5,7,0,40,8.0
Kyle Williams,128374,WR,NE,2,42.9,2,19,0,13,3,7,0,24,8.0
Cornell Powell,40689,WR,HST,1,85.7,3,13,0,20,6,7,0,63,10.5
