player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
D.J. Wonnum,44550,ED,CAR,2,1,0,5,1,0,0,0,2
Jack Heflin,44570,DI,LA,3,1,0,26,0,0,0,0,8
Jonah Williams,44597,DI,NO,3,1,0,20,1,0,0,1,1
Leki Fotu,44614,DI,LV,1,1,0,23,0,0,0,0,2
Terrell Burgess,45255,S,NO,1,1,0,20,0,0,0,0,0
Essang Bassey,45258,CB,WAS,2,3,0,32,0,0,0,0,3
Jordan Fuller,45326,S,ATL,2,2,0,2,0,0,0,0,4
Eyioma Uwazurike,45414,DI,DEN,3,1,0,10,0,0,0,1,3
Zech McPhearson,45464,CB,JAX,1,0,0,15,0,0,0,0,2
Eric Banks,45507,DI,TB,3,0,0,30,0,0,0,0,0
Brandon Stephens,45644,CB,NYJ,2,0,0,22,0,0,1,0,1
Blake Lynch,47621,LB,TEN,1,0,0,31,0,0,0,0,0
Da'Shawn Hand,48386,DI,LAC,3,0,0,27,1,0,0,0,1
Jalyn Holmes,48400,DI,WAS,3,1,0,32,1,0,0,0,3
Kentavius Street,48404,DI,ATL,3,1,0,2,0,0,0,0,1
Anthony Nelson,48405,ED,TB,1,0,0,30,0,0,0,0,1
Mike Danna,48415,ED,KC,3,0,0,16,0,0,0,0,3
Demone Harris,48452,ED,SF,1,0,0,28,0,0,0,1,0
Tyquan Lewis,48475,ED,IND,1,1,0,14,0,0,0,0,0
Justin Hollins,48498,ED,BUF,1,1,0,4,0,0,0,0,3
Carl Granderson,48500,ED,NO,1,0,0,20,0,0,0,0,1
Bradley Chubb,48526,ED,MIA,2,0,0,17,0,0,0,1,1
Dorance Armstrong,48557,ED,WAS,1,0,0,32,0,0,0,1,0
Harold Landry III,48600,ED,NE,1,0,0,19,0,0,0,0,0
Daron Payne,48698,DI,WAS,1,0,0,32,0,0,0,0,1
Greg Gaines,48706,DI,TB,3,0,0,30,0,0,0,0,2
Marlon Davidson,48741,DI,HST,1,2,0,13,1,0,0,0,0
Taven Bryan,48753,DI,CIN,3,2,0,7,0,0,0,1,4
Bruce Hector,48759,DI,SF,3,0,0,28,0,0,0,0,2
L.J. Collier,48822,DI,ARZ,2,1,0,1,0,0,0,1,0
Daniel Ekuale,48874,DI,PIT,3,0,0,25,0,0,0,0,4
Vita Vea,48956,DI,TB,1,0,0,30,0,0,0,0,0
Tim Settle,48966,DI,HST,3,0,0,13,0,0,0,0,0
Nick Scott,49012,S,CAR,2,1,0,5,0,0,0,0,2
Josh Woods,49023,LB,ATL,3,1,1,2,0,0,0,0,6
Justin Reid,49048,S,NO,1,0,0,20,0,0,0,0,0
Tre Flowers,49059,CB,CHI,3,0,0,6,0,0,2,0,5
Jalen Thompson,49116,S,ARZ,1,0,0,1,0,0,0,0,1
Ezekiel Turner,49167,LB,DET,4,9,0,11,0,0,0,0,7
Elijah Campbell,49190,S,MIA,2,1,0,17,0,0,0,0,4
Ronnie Harrison,49206,LB,ATL,2,1,0,2,0,0,0,0,8
Tony Brown,49255,CB,CLV,3,1,0,8,0,0,1,0,5
Andrew Wingard,49268,S,JAX,2,1,0,15,0,0,0,1,1
Carlton Davis III,49335,CB,NE,1,0,0,19,0,0,1,0,0
Kindle Vildor,49346,CB,TB,3,0,0,30,0,1,1,0,4
Ugo Amadi,49352,CB,NO,3,1,0,20,0,0,1,0,7
Isaac Yiadom,49355,CB,NO,3,0,0,20,0,0,0,0,6
Chris Lammons,49368,CB,IND,3,2,0,14,1,0,3,1,4
Jaylon Jones,49374,CB,ARZ,3,1,0,1,0,0,1,0,6
Donte Jackson,49377,CB,LAC,1,0,0,27,0,0,0,0,0
Cam Lewis,49395,S,BUF,1,0,0,4,0,0,0,0,3
M.J. Stewart,49397,S,HST,3,2,0,13,0,0,0,0,4
Julian Blackmon,49434,S,NO,2,0,0,20,0,0,0,0,2
Taron Johnson,49511,CB,BUF,1,0,0,4,0,0,0,0,2
Nick McCloud,49535,CB,CHI,2,0,0,6,0,0,0,0,1
Rock Ya-Sin,49564,CB,DET,4,0,0,11,0,0,0,0,8
Duke Shelley,49569,CB,IND,3,2,0,14,0,0,0,0,9
Nate Brooks,49572,CB,CIN,3,1,0,7,0,0,3,0,8
Breiden Fehoko,49589,DI,PIT,2,1,0,25,0,0,0,0,1
Matt Dickerson,49601,DI,MIA,3,1,0,17,0,0,0,0,2
Zach Allen,49605,DI,DEN,2,0,0,10,0,0,0,0,0
Cole Holcomb,49753,LB,PIT,3,1,0,25,0,0,0,0,5
Quincy Williams,49779,LB,NYJ,2,0,0,22,0,0,0,0,0
Azeez Al-Shaair,49792,LB,HST,1,1,0,13,0,0,0,0,0
Christian Rozeboom,49862,LB,CAR,2,0,0,5,0,0,0,1,2
Sebastian Joseph-Day,49935,DI,TEN,2,0,0,31,1,0,0,0,3
Jerry Tillery,49949,DI,KC,3,1,0,16,0,0,0,0,3
Derrick Nnadi,49970,DI,NYJ,3,2,0,22,0,0,0,0,3
John Franklin-Myers,50088,DI,DEN,2,0,0,10,0,0,0,1,0
Ogbo Okoronkwo,50130,ED,PHI,3,0,0,24,2,0,0,0,4
Jacob Martin,50152,ED,WAS,2,0,0,32,1,0,0,1,0
Malcolm Roach,50191,DI,DEN,2,0,0,10,0,0,0,0,2
Arden Key,50201,ED,TEN,3,0,0,31,0,0,0,0,3
Oren Burks,50203,LB,CIN,2,0,0,7,0,0,0,0,5
Josh Hines-Allen,50235,ED,JAX,2,0,0,15,0,0,0,0,0
Michael Ojemudia,50327,CB,DAL,1,1,0,9,0,0,0,0,5
Cornell Armstrong,50351,CB,MIA,3,0,0,17,0,0,0,0,2
Nik Needham,50356,CB,CLV,3,0,0,8,0,1,0,0,4
Tre Herndon,50380,CB,BUF,3,2,0,4,0,0,2,0,6
Isaiah Oliver,50393,S,NYJ,3,0,0,22,0,0,0,0,4
A.J. Green III,50394,CB,LA,2,0,0,26,0,0,3,0,3
Jeremy Reaves,50406,S,WAS,2,1,0,32,0,0,0,0,7
Juan Thornhill,50426,S,PIT,2,1,0,25,0,0,1,0,2
Jalen Davis,50431,CB,CIN,2,0,0,7,0,0,0,0,3
Mike Jackson,50437,CB,CAR,2,0,0,5,0,0,0,0,1
Parry Nickerson,50511,CB,PHI,3,2,0,24,0,1,1,0,8
Lamar Jackson,50532,CB,ATL,3,1,0,2,0,0,1,0,11
Amani Oruwariye,50533,CB,TEN,3,2,0,31,1,0,0,0,6
Mike Ford,50535,CB,ATL,3,0,0,2,0,0,0,0,6
Avonte Maddox,50543,S,DET,4,2,0,11,0,0,0,0,3
Charles Omenihu,50612,ED,KC,3,2,0,16,0,0,0,0,3
Luke Gifford,50675,LB,SF,3,2,0,28,0,0,0,0,2
Cody Barton,50727,LB,TEN,3,0,0,31,0,0,0,0,3
Jordyn Brooks,50851,LB,MIA,1,0,0,17,0,0,0,0,0
Tremaine Edmunds,50905,LB,CHI,1,1,0,6,0,0,0,0,0
