team,season,role,name,source
CHI,2019,dc,Chuck Pagano,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2020,oc,Bill Lazor,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2020,dc,Chuck Pagano,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2021,oc,Bill Lazor,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2021,dc,Sean Desai,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2006,oc,Bob Bratkowski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2006,dc,Chuck Bresnahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2007,oc,Bob Bratkowski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2007,dc,Chuck Bresnahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2008,oc,Bob Bratkowski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2008,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2009,oc,Bob Bratkowski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2009,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2010,oc,Bob Bratkowski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2010,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2011,oc,Jay Gruden,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2011,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2012,oc,Jay Gruden,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2012,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2013,oc,Jay Gruden,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2013,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2014,oc,Hue Jackson,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2014,dc,Paul Guenther,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2015,oc,Hue Jackson,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2015,dc,Paul Guenther,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2016,oc,Ken Zampese,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2016,dc,Paul Guenther,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2017,oc,"Bill Lazor, Ken Zampese",pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2017,dc,Paul Guenther,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2018,oc,Bill Lazor,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2018,dc,Teryl Austin,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2019,oc,Brian Callahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2019,dc,Lou Anarumo,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2020,oc,Brian Callahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2020,dc,Lou Anarumo,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2021,oc,Brian Callahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CIN,2021,dc,Lou Anarumo,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2006,oc,"Maurice Carthon, Jeff Davidson",pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2006,dc,Todd Grantham,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2007,oc,Rob Chudzinski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2007,dc,Todd Grantham,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2008,oc,Rob Chudzinski,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2008,dc,Mel Tucker,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2009,oc,Brian Daboll,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2009,dc,Rob Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2010,oc,Brian Daboll,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2010,dc,Rob Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2011,oc,Pat Shurmur,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2011,dc,Dick Jauron,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2012,oc,Brad Childress,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2012,dc,Dick Jauron,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2013,oc,Norv Turner,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2013,dc,Ray Horton,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2014,oc,Kyle Shanahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2014,dc,Jim O'Neil,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2015,oc,John DeFilippo,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2015,dc,Jim O'Neil,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2016,oc,Hue Jackson,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2016,dc,Ray Horton,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2017,oc,Hue Jackson,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2017,dc,Gregg Williams,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2018,oc,"Todd Haley, Freddie Kitchens",pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2018,dc,Gregg Williams,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2019,oc,Todd Monken,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2019,dc,Steve Wilks,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2020,oc,Alex Van Pelt,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2020,dc,Joe Woods,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2021,oc,Alex Van Pelt,pfr-derived (jchernak96/NFL_Coordinator_Data)
CLE,2021,dc,Joe Woods,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2006,oc,Bill Parcells,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2006,dc,Mike Zimmer,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2007,oc,Jason Garrett,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2007,dc,Brian Stewart,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2008,oc,Jason Garrett,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2008,dc,Brian Stewart,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2009,oc,Jason Garrett,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2009,dc,Wade Phillips,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2010,oc,Jason Garrett,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2010,dc,Paul Pasqualoni,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2011,oc,Jason Garrett,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2011,dc,Rob Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2012,oc,Bill Callahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2012,dc,Rob Ryan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2013,oc,Bill Callahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2013,dc,Monte Kiffin,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2014,oc,Bill Callahan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2014,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2015,oc,Scott Linehan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2015,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2016,oc,Scott Linehan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2016,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2017,oc,Scott Linehan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2017,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2018,oc,Scott Linehan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2018,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2019,oc,Kellen Moore,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2019,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2020,oc,Kellen Moore,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2020,dc,Mike Nolan,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2021,oc,Kellen Moore,pfr-derived (jchernak96/NFL_Coordinator_Data)
DAL,2021,dc,Dan Quinn,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2006,oc,Rick Dennison,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2006,dc,Larry Coyer,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2007,oc,Rick Dennison,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2007,dc,Bob Slowik,pfr-derived (jchernak96/NFL_Coordinator_Data)
DEN,2008,oc,Rick Dennison,pfr-derived (jchernak96/NFL_Coordinator_Data)
