team,ret_share,portal_out_share,gone_share,portal_in_yds,qb_ret
Southern Miss Golden Eagles,0.10402027416196291,0.09515032830319088,0.8008293975348462,529.0,0.0
Stanford Cardinal,0.26663513087354146,0.20245979186376536,0.5309050772626932,0.0,0.0
Stephen F. Austin Lumberjacks,0.0,0.0,1.0,0.0,0.0
Stony Brook Seawolves,0.0,0.05673758865248227,0.9432624113475178,0.0,0.0
Syracuse Orange,0.3439928272564256,0.38747758517632996,0.2685295875672445,4775.0,0.0
TCU Horned Frogs,0.23416216216216215,0.39416216216216216,0.37167567567567567,418.0,0.0
Tarleton State Texans,0.0,0.2862903225806452,0.7137096774193549,2578.0,0.0
Temple Owls,0.3399416013523897,0.00599354541263255,0.6540648532349778,91.0,0.0
Tennessee State Tigers,0.4479166666666667,0.020833333333333332,0.53125,14.0,0.0
Tennessee Tech Golden Eagles,0.0,0.0,1.0,0.0,0.0
Tennessee Volunteers,0.3704529334279056,0.05694599250177323,0.5726010740703212,1320.0,0.0
Texas A&M Aggies,0.7242546685595719,0.0324342033417058,0.2433111280987223,813.0,1.0
Texas Longhorns,0.5191960524732218,0.21145745577085087,0.2693464917559273,4195.0,1.0
Texas Southern Tigers,0.0,0.5030120481927711,0.49698795180722893,0.0,0.0
Texas State Bobcats,0.7336592624083325,0.00403868636411946,0.26230205122754807,142.0,1.0
Texas Tech Red Raiders,0.41378644525970265,0.0389071249275922,0.5473064298127052,6137.0,0.0
The Citadel Bulldogs,0.41155234657039713,0.0,0.5884476534296029,690.0,0.0
Toledo Rockets,0.06734958200871306,0.2109972918874367,0.7216531261038502,409.0,0.0
Towson Tigers,0.4931506849315068,0.1643835616438356,0.3424657534246575,0.0,1.0
Troy Trojans,0.49253112033195023,0.21203319502074688,0.2954356846473029,88.0,1.0
Tulane Green Wave,0.1693864229765013,0.2876414273281114,0.5429721496953873,648.0,0.0
Tulsa Golden Hurricane,0.43014508328855455,0.33113917248790975,0.23871574422353573,1943.0,1.0
UAB Blazers,0.15065936800199053,0.2796715600895745,0.569669071908435,1426.0,0.0
UAlbany Great Danes,0.02572347266881029,0.06752411575562701,0.9067524115755627,0.0,0.0
UC Davis Aggies,0.0,0.37779850746268656,0.6222014925373134,0.0,0.0
